Število spletnih nakupov, ki so jih opravili posamezniki v zadnjih 12 mesecih, po vrsti izdelka ali storitve, po starostnih razredih in spolu, Slovenija, letno;;;;;;;
;;;;;;;
LETO;E-NAKUPI  PO VRSTI IZDELKA ALI STORITVE;16–24;25–34;35–44;45–54;55–64;65–74
2018;..Knjige, revije, èasopise;11569;27962;24298;19703;14071;5234
2018;..Elektronsko uèno gradivo;4274;6858;11910;6470;2509;-
2018;..Knjige, revije, èasopisi, elektronsko uèno gradivo;-;-;-;-;-;-
2018;..Raèunalniške oz. videoigre, raèunalniška programska oprema, programska nadgradnja;18448;25378;22366;8114;4197;2614
2018;..Raèunalniško programsko opremo (vkljuèno z video igricami);-;-;-;-;-;-
2018;..Raèunalniške oz. videoigre in posodobitve;-;-;-;-;-;-
2018;..Drugo raèunalniško programsko opremo in posodobitve;-;-;-;-;-;-
2018;..Loterija, stave;-;-;-;-;-;-
2018;..Oddaja stav ali iger na sreèo;-;-;-;-;-;-
2018;..Druge izdelke ali storitve;2041;4786;4345;4884;2905;1462
